,year,month,day,total_fee,total_received_satoshi,total_sent_satoshi,mean_fee_satoshi,mean_feeUSD,mean_fee_for100,nb_transactions,nb_payments,mean_nb_inputs,mean_nb_outputs,nb_mining,total_mining_satoshi,newly_created_coins,self_spent_satoshi,total_received,volume_without_self
2015-01-11,2015,1,11,1349891590,123607497053331,123232497053331,15010.637169322465,4034191.6700327075,1.056288359922375,89929,299794,2.7578311779292553,3.3336743430928846,150,376349891590,375000000000,19626426132207,123607497053331,103981070921124
2015-01-12,2015,1,12,3251351587,101188134963199,100828134963199,33531.53321851409,9007147.171095476,0.7902098387786055,96964,264252,2.691504063363723,2.7252588589579636,144,363251351587,360000000000,6972929149508,101188134963199,94215205813691
2015-01-13,2015,1,13,1553924684,173353096901591,173043096901591,15050.846859412079,3373017.054293874,0.6950282675987869,103245,304639,3.0178313719792724,2.950641677563078,124,311553924684,310000000000,11573372602202,173353096901591,161779724299389
2015-01-14,2015,1,14,1562867734,245038852030305,244658852030305,14773.861701926531,2594846.1565317046,0.5282821414623147,105786,309051,2.9564781729151304,2.921473540922239,152,381562867734,380000000000,15476836025254,245038852030305,229562016005051
2015-01-15,2015,1,15,1702834427,257739168163721,257386668163721,14299.919608666443,3036459.5533509147,0.45895024721959227,119080,337522,2.624857238831038,2.8344138394356735,141,354202834427,352500000000,13137988310061,257739168163721,244601179853660
2015-01-16,2015,1,16,1475460920,195958194248624,195595694248624,13997.618017607772,2905838.313829598,0.5774571520871846,105408,302610,2.5955525197328475,2.870844717668488,145,363975460920,362500000000,6269542112847,195958194248624,189688652135777
2015-01-17,2015,1,17,1246989636,114527918738773,114187918738773,14182.585369182476,2834032.6462861225,0.7635606288460468,87924,352183,2.8124402893407945,4.005538874482507,136,341246989636,340000000000,7789023442616,114527918738773,106738895296157
2015-01-18,2015,1,18,1454716293,98158609567737,97766109567737,16989.585782023732,3587054.1131541384,0.8880680366226116,85624,297989,2.8701298701298703,3.480204148369616,157,393954716293,392500000000,3790483177449,98158609567737,94368126390288
2015-01-19,2015,1,19,1424069555,97675247922648,97322747922648,14749.096920862117,3199000.9518841365,0.809050837252159,96553,292131,2.9630462026037514,3.0256025188238582,141,353924069555,352500000000,3714030329390,97675247922648,93961217593258
2015-01-20,2015,1,20,1471337146,144045762664281,143740762664281,14475.823201267205,3067714.336329423,0.7624576223232851,101641,293244,2.707844275440029,2.8850955815074624,122,306471337146,305000000000,4999579351375,144045762664281,139046183312906
2015-01-21,2015,1,21,1338458600,137830275532309,137465275532309,13856.396293804028,3157930.9240387683,0.646053714022695,96595,270611,2.7406180444122366,2.801501112894042,146,366338458600,365000000000,8117972964557,137830275532309,129712302567752
2015-01-22,2015,1,22,1343459442,126767131617768,126422131617768,14269.351481678174,3333996.55612858,0.694609298424962,94150,264030,2.9095910780669145,2.8043547530536377,138,346343459442,345000000000,8307707809839,126767131617768,118459423807929
2015-01-23,2015,1,23,1330771770,101010149044961,100707649044961,14897.08802095577,3473000.6276457985,0.6710893676349132,89331,249486,2.616281022265507,2.792826678308762,121,303830771770,302500000000,3692479750282,101010149044961,97317669294679
2015-01-24,2015,1,24,1193987290,122288538566040,121966038566040,13813.5416955898,3440706.3038545703,0.8481100243265778,86436,252353,2.8235573140820955,2.9195358415475035,129,323693987290,322500000000,4499915220926,122288538566040,117788623345114
2015-01-25,2015,1,25,1313613049,93088609618332,92778609618332,15332.512973446163,3902399.738558043,0.9954848937225925,85675,397395,3.0630989203384886,4.638400933761307,124,311313613049,310000000000,2431852223382,93088609618332,90656757394950
2015-01-26,2015,1,26,1606580369,210373283143109,210050783143109,14868.034806026504,4073131.5163748916,0.8232325148975721,108056,310069,2.9751795365366105,2.8695213592951805,129,324106580369,322500000000,5919000865701,210373283143109,204454282277408
2015-01-27,2015,1,27,1383680467,116040183531931,115677683531931,14168.924254526091,3751276.8522133892,0.8035704420273142,97656,278811,2.911894814450725,2.855031948881789,145,363883680467,362500000000,7388790263231,116040183531931,108651393268700
2015-01-28,2015,1,28,1184132879,93681443474752,93273943474752,13624.190337575073,3211710.041189232,0.8766870023412602,86914,223167,2.641507697263962,2.567676093609775,163,408684132879,407500000000,3628451018518,93681443474752,90052992456234
2015-01-29,2015,1,29,1227589088,100555742071392,100143242071392,13424.78388486691,3140827.149837217,0.8883996380081064,91442,248789,2.5116357909931977,2.7207300802694605,165,413727589088,412500000000,7489596448927,100555742071392,93066145622465
2015-01-30,2015,1,30,1130386670,86848418527541,86493418527541,13826.85247024574,3164913.9770933758,0.6614236441475726,81753,241361,2.6548628184898413,2.9523197925458393,142,356130386670,355000000000,8429240259787,86848418527541,78419178267754
2015-01-31,2015,1,31,1238050424,78634836176288,78229836176288,14432.519922594483,3136650.615361464,1.2149414180511149,85782,328450,2.865449628127113,3.828891842111399,162,406238050424,405000000000,7205077481671,78634836176288,71429758694617
2015-02-01,2015,2,1,1117805117,78132803308010,77742803308010,14171.31667892188,3218466.1463385792,1.2582810028227918,78878,279929,2.8885367276046554,3.5488856208321713,156,391117805117,390000000000,6878467212048,78132803308010,71254336095962
2015-02-02,2015,2,2,1244509220,97645553357097,97260553357097,14499.868575889268,3481308.5844360446,0.8972222694020253,85829,245099,2.857973412249939,2.8556664996679446,154,386244509220,385000000000,7109241722997,97645553357097,90536311634100
2015-02-03,2015,2,3,1304816036,129693302609742,129360802609742,14275.73041870439,3251664.480406153,0.7135322177761474,91401,264850,2.8467631645167994,2.897670703821621,133,333804816036,332500000000,8230494019540,129693302609742,121462808590202
2015-02-04,2015,2,4,1256868343,122316030813387,121921030813387,13799.608509003074,3129490.7388216914,0.6199583302932943,91080,265745,2.6967171717171716,2.9177097057531842,158,396256868343,395000000000,9703467832856,122316030813387,112612562980531
2015-02-05,2015,2,5,1225818354,123740708515426,123343208515426,13986.494688680214,3035225.328430967,0.6233389546077476,87643,240973,2.7927159042935545,2.749483700923063,159,398725818354,397500000000,8140601503385,123740708515426,115600107012041
2015-02-06,2015,2,6,1153055237,97014243169415,96586743169415,13652.248274310612,3040696.6720799883,0.7227518810927827,84459,267788,2.6202062539220212,3.1706271682117952,171,428653055237,427500000000,8721590579195,97014243169415,88292652590220
2015-02-07,2015,2,7,1178838301,63824968554434,63419968554434,13816.346323339818,3159067.862266434,0.8595432287483188,85322,234436,2.6818874381753828,2.7476617988326573,162,406178838301,405000000000,6656495164374,63824968554434,57168473390060
2015-02-08,2015,2,8,1191299150,63987782251136,63657782251136,14235.005616097887,3189153.7124085366,1.392165762763601,83688,387803,2.973795526240321,4.633914061753178,132,331191299150,330000000000,7982127968155,63987782251136,56005654282981
2015-02-09,2015,2,9,1481855748,86590988973302,86180988973302,14191.301934495308,3132992.4249604745,1.1098997075900219,104420,297597,2.8697184447423867,2.85,164,411481855748,410000000000,10064763327629,86590988973302,76526225645673
2015-02-10,2015,2,10,1423113269,82589195182715,82234195182715,13913.75982831611,3073384.694442562,0.9417738871323243,102281,292378,2.778257936469139,2.858575884084043,142,356423113269,355000000000,8778660739695,82589195182715,73810534443020
2015-02-11,2015,2,11,1441713180,88705397495209,88307897495209,14763.483113850943,3240523.58162054,0.9847589445050953,97654,288881,2.8480246584881317,2.9582095971491182,159,398941713180,397500000000,9652947498666,88705397495209,79052449996543
2015-02-12,2015,2,12,1289897424,75571447050724,75261447050724,14446.319524241508,3215508.3650336107,0.8517809561956841,89289,323963,2.7883389891252004,3.628252080323444,124,311289897424,310000000000,7077308746686,75571447050724,68494138304038
2015-02-13,2015,2,13,1718872124,102881008530418,102521008530418,15290.144052945729,3616965.4353798395,1.2351398209329312,112417,510349,2.9642313884910645,4.539784907976552,144,361718872124,360000000000,10016035992709,102881008530418,92864972537709
2015-02-14,2015,2,14,1527536330,71105282772002,70705282772002,15202.240523083967,3916517.926432344,1.4186447081710392,100481,344137,3.4035389775181377,3.4248962490421073,160,401527536330,400000000000,6461491578441,71105282772002,64643791193561
2015-02-15,2015,2,15,1361600276,73198889887384,72848889887384,16305.61374767978,3822782.669433582,1.4148460512899594,83505,430665,3.6922459732950124,5.157355846955272,140,351361600276,350000000000,6052304920143,73198889887384,67146584967241
2015-02-16,2015,2,16,1550387311,74080992833095,73685992833095,14653.667331430408,3444873.8482360123,1.0699925666762355,105802,364098,3.0691291279937998,3.4413149089809267,158,396550387311,395000000000,7460880528475,74080992833095,66620112304620
2015-02-17,2015,2,17,1596604979,80362976885938,79990476885938,15440.605968879046,3766053.327246268,1.162970579038058,103403,416003,3.0455596065878168,4.0231231202189495,149,374096604979,372500000000,7048408139656,80362976885938,73314568746282
2015-02-18,2015,2,18,1452450629,83722532001630,83320032001630,14262.78419993126,3365949.2696208665,0.9899656692008364,101835,298548,2.912377866156037,2.931683605832965,161,403952450629,402500000000,8506252433939,83722532001630,75216279567691
2015-02-19,2015,2,19,1386221713,72688929477800,72268929477800,14339.136820654985,3468239.3128379304,0.8297701491243057,96674,272167,2.7849163166932165,2.815307114632683,168,421386221713,420000000000,6640236660201,72688929477800,66048692817599
2015-02-20,2015,2,20,1491995408,77469954907914,77074954907914,15375.372616912962,3775127.1670967173,0.8596202598973278,97038,286221,3.141614625198376,2.9495764545848018,158,396491995408,395000000000,5670401052172,77469954907914,71799553855742
2015-02-21,2015,2,21,1316539778,64024006258565,63676506258565,14608.09304957614,3587689.242084109,0.9636605435370228,90124,338427,3.2286405397008564,3.7551262704717945,139,348816539778,347500000000,7405939586448,64024006258565,56618066672117
2015-02-22,2015,2,22,1236067581,47030007678472,46642507678472,14566.820823758175,3447830.6472604405,1.0118636320726702,84855,316568,3.100618702492487,3.730693536032055,155,388736067581,387500000000,5689623573231,47030007678472,41340384105241
2015-02-23,2015,2,23,1451088307,81983933931943,81628933931943,14334.001491593734,3426772.7511931285,1.054367359433596,101234,311923,2.82735049489302,3.081207894580872,142,356451088307,355000000000,8439046719190,81983933931943,73544887212753
2015-02-24,2015,2,24,1430786821,74273165932385,73953165932385,13731.027734858591,3293651.6063947324,0.7500630440508756,104201,279785,2.6926421051621388,2.6850510071880307,128,321430786821,320000000000,6705721839412,74273165932385,67567444092973
2015-02-25,2015,2,25,1520835212,81575263442356,81172763442356,14385.637510759656,3427178.4941019276,0.9027699858846177,105719,290535,2.712908748663911,2.7481815000141885,161,404020835212,402500000000,6632463590486,81575263442356,74942799851870
2015-02-26,2015,2,26,1407815197,108967044940502,108604544940502,14040.103290083873,3328127.869000306,0.7687718620890206,100271,273365,2.7500972364891143,2.7262618304395088,145,363907815197,362500000000,8491667543387,108967044940502,100475377397115
2015-02-27,2015,2,27,1451898969,159296053494642,158906053494642,14222.451574668168,3628385.9942557504,0.7402463729684154,102085,287792,2.857236616545036,2.8191409119851105,156,391451898969,390000000000,7308489525444,159296053494642,151987563969198
2015-02-28,2015,2,28,1361865184,63205068655456,62852568655456,15023.333524544953,3830175.6365751494,0.9463103788818426,90650,348472,3.482360728075014,3.8441478212906786,141,353861865184,352500000000,6324541964171,63205068655456,56880526691285
2015-03-01,2015,3,1,1367408516,122714533813642,122362033813642,15695.149570147953,4090961.614464916,1.0387703218423412,87123,316883,3.050331141030497,3.6371910976435613,141,353867408516,352500000000,9186151053817,122714533813642,113528382759825
2015-03-02,2015,3,2,1558070349,194800363458393,194407863458393,14686.722680441524,4058273.399718551,0.8272108473099672,106087,318286,3.154816329993307,3.000235655641125,157,394058070349,392500000000,12334908325091,194800363458393,182465455133302
2015-03-03,2015,3,3,1550988216,111564108259772,111171608259772,14122.61744807554,3992547.2786099575,0.7927097882777492,109823,304963,2.9552734855176057,2.7768591278693897,157,394050988216,392500000000,10752102857418,111564108259772,100812005402354
2015-03-04,2015,3,4,1467918731,89188925701110,88828925701110,14723.35738214644,4026065.9429881773,0.8234469803332679,99700,288097,2.9084252758274824,2.889638916750251,144,361467918731,360000000000,8025463900279,89188925701110,81163461800831
2015-03-05,2015,3,5,1452272045,109748195660879,109438195660879,14730.568775421192,4069596.5570064187,0.7353841040980339,98589,280413,3.193033705585816,2.8442625445029366,124,311452272045,310000000000,10944576651524,109748195660879,98803619009355
2015-03-06,2015,3,6,1688492115,83572511392192,83200011392192,17813.91691723374,4868866.30122203,0.7323537541712163,94785,275840,3.23590230521707,2.9101651105132667,149,374188492115,372500000000,8886590833093,83572511392192,74685920559099
2015-03-07,2015,3,7,1320897620,111575425768853,111212925768853,14323.797347560645,3959145.5933492193,0.8842053862090538,92217,315534,2.8712276478306604,3.4216467679495106,145,363820897620,362500000000,6244186986795,111575425768853,105331238782058
2015-03-08,2015,3,8,1306249168,230492540786134,230105040786134,15096.608741881053,4156670.7661268367,0.9516254297431199,86526,308939,3.0773409148695188,3.5704759263111665,155,388806249168,387500000000,5473739231209,230492540786134,225018801554925
2015-03-09,2015,3,9,1556540864,112325627204430,111975627204430,14877.758635850969,4316485.165088555,0.9314958625382919,104622,315743,3.0599873831507716,3.017940777274378,140,351556540864,350000000000,7350839552987,112325627204430,104974787651443
2015-03-10,2015,3,10,1565327707,113823248350628,113438248350628,14581.53429902189,4262479.580916603,0.7566347412037815,107350,298451,2.9857755006986495,2.780167675826735,154,386565327707,385000000000,10447782020461,113823248350628,103375466330167
2015-03-11,2015,3,11,1541365811,89003111685997,88608111685997,15128.040701554648,4488388.706041147,0.7456081697747718,101888,282547,3.0977249528894473,2.773113614949749,158,396541365811,395000000000,10607200650907,89003111685997,78395911035090
2015-03-12,2015,3,12,1394290819,105431010469988,105113510469988,14517.360130358276,4294240.251291921,0.7223660220195327,96043,258840,3.3465635184240394,2.695042845392168,127,318894290819,317500000000,14593080547465,105431010469988,90837929922523
2015-03-13,2015,3,13,1375152700,95339012360941,94966512360941,14256.787550800365,4076173.0394810834,0.807274914717612,96456,281034,2.881500373227171,2.9135979099278426,149,373875152700,372500000000,14435894915071,95339012360941,80903117445870
2015-03-14,2015,3,14,1237712197,80480948072693,80153448072693,13842.642535201816,3925888.343051233,0.851633105312804,89413,316800,2.7662755975081925,3.543108943889591,131,328737712197,327500000000,8692145375312,80480948072693,71788802697381
2015-03-15,2015,3,15,1187577898,57526877787017,57171877787017,14077.499976292082,4044045.4797963575,1.0919917105963646,84360,309190,2.815220483641536,3.6651256519677573,142,356187577898,355000000000,7092002429571,57526877787017,50434875357446
2015-03-16,2015,3,16,1481257724,93066544652040,92731544652040,14381.70146413453,4190714.5358364214,1.0034158564475812,102996,315867,2.8620917317177366,3.0667890015146217,134,336481257724,335000000000,7002031196445,93066544652040,86064513455595
2015-03-17,2015,3,17,1420100768,79006796990748,78666796990748,14109.57761704157,4024734.112104144,0.8334705228674022,100648,284908,2.6593672998966698,2.830736825371592,136,341420100768,340000000000,6699751191075,79006796990748,72307045799673
2015-03-18,2015,3,18,1546325073,152292491662302,151914991662302,15264.958913710896,3927462.8122546524,0.742297150150597,101299,285877,2.938814795802525,2.8221107809553896,151,379046325073,377500000000,9678502661392,152292491662302,142613989000910
2015-03-19,2015,3,19,1635009752,111105399126056,110762899126056,15482.460437104655,4057843.7730834903,0.9145857008640719,105604,295689,3.005321768114844,2.799979167455778,137,344135009752,342500000000,9224303167363,111105399126056,101881095958693
2015-03-20,2015,3,20,1551914574,82525848768770,82190848768770,15445.932022214702,4061762.661779034,0.9180034842324393,100474,288509,2.660031450922627,2.871479188645819,134,336551914574,335000000000,9121382868433,82525848768770,73404465900337
2015-03-21,2015,3,21,1412042714,66208364235794,65825864235794,14425.232298466599,3767644.181680946,1.0253779011677573,97887,328862,2.749190393004178,3.3596085282008845,153,383912042714,382500000000,5529467273926,66208364235794,60678896961868
2015-03-22,2015,3,22,1275680054,49093199760834,48750699760834,14541.31011763633,3910149.8756718207,1.1592483126199356,87728,318475,3.0007751231077875,3.6302548787160314,137,343775680054,342500000000,4971277642577,49093199760834,44121922118257
2015-03-23,2015,3,23,1770393993,88744354848647,88379354848647,16459.288531265687,4390975.724150341,1.079903925386248,107562,335270,2.7912645729904613,3.116992990089437,146,366770393993,365000000000,8968661423463,88744354848647,79775693425184
2015-03-24,2015,3,24,1364850227,94798064936033,94358064936033,14789.352957111589,3650531.0864752345,0.8494066518856509,92286,258332,2.7835858093318597,2.7992544914721624,176,441364850227,440000000000,7797514384207,94798064936033,87000550551826
2015-03-25,2015,3,25,1570952879,108963562597154,108563562597154,16037.495574498495,3956756.95326437,0.7596432398671124,97955,263659,2.593956408554949,2.6916339135317235,160,401570952879,400000000000,11656281951905,108963562597154,97307280645249
2015-03-26,2015,3,26,1443529003,96977818961375,96615318961375,14585.963028080067,3639679.030568777,0.7801697279856056,98967,280576,2.7027898188284984,2.8350460254428245,145,363943529003,362500000000,7565094110266,96977818961375,89412724851109
2015-03-27,2015,3,27,1409905103,102067687581830,101627687581830,14015.379216080002,3467109.0594965154,0.7403220702776429,100597,285260,2.620346531208684,2.8356710438681074,176,441409905103,440000000000,10783475773587,102067687581830,91284211808243
2015-03-28,2015,3,28,1291423917,65955806091294,65580806091294,14439.320165924999,3656492.4552275585,0.9045966002233365,89438,294157,2.8325879380129253,3.2889487689796284,150,376291423917,375000000000,6063002034683,65955806091294,59892804056611
2015-03-29,2015,3,29,1204639420,52833856683180,52466356683180,13978.502866160738,3396323.615697092,1.1169601180897388,86178,325643,2.9059040590405902,3.7787254287637215,147,368704639420,367500000000,5613657396561,52833856683180,47220199286619
2015-03-30,2015,3,30,1539817107,86581538993790,86231538993790,14701.749209925814,3650987.200116818,0.8995336420835547,104737,303770,2.851561530309251,2.900312210584607,140,351539817107,350000000000,9462160957503,86581538993790,77119378036287
2015-03-31,2015,3,31,1543008310,83410261701888,83047761701888,13967.921117427672,3418124.5726996893,0.7909680581372551,110468,308259,2.6354962523083607,2.7904823116196544,145,364043008310,362500000000,7705538778002,83410261701888,75704722923886
2015-04-01,2015,4,1,1750706702,107245831910393,106895831910393,14225.75448946094,3516404.834657431,0.7589986152900948,123066,339602,2.6639770529634506,2.7595111566151496,140,351750706702,350000000000,18047709787709,107245831910393,89198122122684
2015-04-02,2015,4,2,1584576419,81752764252750,81362764252750,13977.527821392658,3545121.370057446,0.8438994823002955,113366,319884,2.6646172573787554,2.8216925709648395,156,391584576419,390000000000,9648688958176,81752764252750,72104075294574
2015-04-03,2015,4,3,1471734853,72850603772221,72475603772221,14238.783032284904,3628513.993904609,0.9329312470824224,103361,285540,2.950097232031424,2.7625506719168738,150,376471734853,375000000000,6925468974306,72850603772221,65925134797915
2015-04-04,2015,4,4,1423514508,50055874972768,49665874972768,15503.485204587287,3937045.6995374556,0.9907552279137329,91819,326605,2.856783454404862,3.5570524619087553,156,391423514508,390000000000,7913862654875,50055874972768,42142012317893
2015-04-05,2015,4,5,1460053506,45106239538307,44736239538307,15468.962621575234,4039133.670039814,1.089806183909082,94386,336063,2.8594494946284406,3.560517449621766,148,371460053506,370000000000,4563596724167,45106239538307,40542642814140
2015-04-06,2015,4,6,1592278813,72119940105641,71804940105641,15052.02829323628,3858849.3680791804,0.9056328394800415,105785,302631,2.8060311008176964,2.860812024389091,126,316592278813,315000000000,7377664341916,72119940105641,64742275763725
2015-04-07,2015,4,7,1544223971,76344130450299,75969130450299,14518.158896253466,3699689.992983788,0.7609138307135159,106365,297003,2.7849480562215017,2.7923000987166833,150,376544223971,375000000000,8071473330024,76344130450299,68272657120275
2015-04-08,2015,4,8,1640221330,97071945814903,96751945814903,14405.091424857725,3541134.5604637414,0.7763383807037841,113864,318194,2.676956720297899,2.7945092390922506,128,321640221330,320000000000,10825707062205,97071945814903,86246238752698
2015-04-09,2015,4,9,1865691011,86861217466547,86516217466547,16264.272920644053,3966216.0960699017,0.7465529993092069,114711,303494,2.5695443331502648,2.6457270880735066,138,346865691011,345000000000,9223976893101,86861217466547,77637240573446
2015-04-10,2015,4,10,2797698297,102529997702421,102159997702421,24435.326715810435,5763606.83562519,0.7312946023620778,114494,320248,2.5273114748371093,2.7970723356682448,148,372797698297,370000000000,10176778896335,102529997702421,92353218806086
2015-04-11,2015,4,11,1679153853,64524715612178,64174715612178,16646.712134430454,3952080.5218623257,0.8561502979596182,100870,344721,2.695687518588282,3.417477941905423,140,351679153853,350000000000,6400553081936,64524715612178,58124162530242
2015-04-12,2015,4,12,1422804554,48240068655738,47915068655738,16275.317761178665,3859545.6358502987,0.9988678730418918,87421,301000,2.6276752725317714,3.443108635224946,130,326422804554,325000000000,4173788534580,48240068655738,44066280121158
2015-04-13,2015,4,13,1678946158,86242120371134,85867120371134,14933.523303803324,3367593.5624007382,0.8579891786128205,112428,321964,2.7658412495107982,2.863735012630306,150,376678946158,375000000000,10344989161211,86242120371134,75897131209923
2015-04-14,2015,4,14,1624056673,103572169651884,103192169651884,14658.212672051988,3221248.197689173,0.7387425773705704,110795,307300,2.838196669524798,2.773590866013809,152,381624056673,380000000000,12196518682546,103572169651884,91375650969338
2015-04-15,2015,4,15,1552065828,80716770647443,80414270647443,14337.128335873631,3201680.0553946644,0.7330760503669551,108255,292037,2.5857743291302944,2.697676781672902,121,304052065828,302500000000,9588569836472,80716770647443,71128200810971
2015-04-16,2015,4,16,1432185698,115067764468054,114720264468054,14247.62684414202,3255494.7252773494,0.6850432109664579,100521,275062,2.5828035932790163,2.736363545925727,139,348932185698,347500000000,9572535210290,115067764468054,105495229257764
2015-04-17,2015,4,17,1455540566,115574291816134,115256791816134,14318.153850694,3189870.92018873,0.7048714379796953,101657,284103,2.589629833656315,2.7947214653196535,127,318955540566,317500000000,9499742840364,115574291816134,106074548975770
2015-04-18,2015,4,18,1331941928,79465782509838,79110782509838,13605.821829511211,3039514.014840653,0.885834487743287,97895,331030,2.66602993002707,3.381480157311405,142,356331941928,355000000000,5901201163527,79465782509838,73564581346311
2015-04-19,2015,4,19,1301671183,94270625094879,93908125094879,14272.397348742352,3186799.8151808865,1.00646866869951,91202,328954,2.907688427885353,3.606872656301397,145,363801671183,362500000000,5609599427579,94270625094879,88661025667300
2015-04-20,2015,4,20,1700971641,135333853637728,134946353637728,14527.41671577545,3267141.914499573,1.0256598153982643,117087,326627,2.6177970227266902,2.789609435718739,155,389200971641,387500000000,8043243614472,135333853637728,127290610023256
2015-04-21,2015,4,21,1537417951,122520111746739,122127611746739,13729.520276123201,3225604.6264037,0.6720848251895213,111979,292899,2.6768411934380554,2.6156600791219784,157,394037417951,392500000000,8252565046611,122520111746739,114267546700128
2015-04-22,2015,4,22,1574255236,133434787145249,133062287145249,14170.351825014626,3313345.992392746,0.6595744532204167,111095,314155,2.712498312255277,2.827805031729601,149,374074255236,372500000000,7993603487466,133434787145249,125441183657783
2015-04-23,2015,4,23,1528560731,112193366245635,111865866245635,14034.69494917962,3311251.8137014084,0.6282000933890445,108913,312546,2.6764573558712,2.869684977918155,131,329028560731,327500000000,7463788108994,112193366245635,104729578136641
2015-04-24,2015,4,24,1628943558,128248379093441,127938379093441,14771.78263235214,3419056.0333687137,0.7542445115629933,110274,307594,2.999827701906161,2.789361046121479,124,311628943558,310000000000,9859273609466,128248379093441,118389105483975
2015-04-25,2015,4,25,9948841096,97973827771750,97576327771750,100293.76993255844,22711123.76611057,0.8493762815935821,99197,338339,2.666370958799157,3.410778551770719,159,407448841096,397500000000,7352599083286,97973827771750,90621228688464
2015-04-26,2015,4,26,1348716443,105789317103168,105411817103168,14363.633336173294,3167229.996201654,0.9355081558632188,93898,336813,2.8779420221942957,3.587009307972481,151,378848716443,377500000000,7760820033966,105789317103168,98028497069202
2015-04-27,2015,4,27,1527854577,134651113981298,134313613981298,13736.117172679787,3122576.4918692894,0.7421876228484275,111229,304166,2.6779257208102205,2.7345925972543133,135,339027854577,337500000000,9600144452222,134651113981298,125050969529076
2015-04-28,2015,4,28,1603986819,132335890357049,131960890357049,14171.372699562662,3196343.965242155,0.70753494910058,113185,310320,2.702628440164333,2.7417060564562443,150,376603986819,375000000000,8516059074980,132335890357049,123819831282069
2015-04-29,2015,4,29,1723485683,129382704330690,129057704330690,14595.791727712332,3293821.775821183,0.6740240797895163,118081,317501,2.770488054809834,2.6888407110373387,130,326723485683,325000000000,8806330978899,129382704330690,120576373351791
2015-04-30,2015,4,30,1673800473,121541261504417,121208761504417,14794.456923906415,3496344.0427877535,0.5811242376928631,113137,303545,2.649778587022813,2.6829861141801534,133,334173800473,332500000000,8797013130489,121541261504417,112744248373928
2015-05-01,2015,5,1,1379669899,119557669483492,119197669483492,13835.43821700762,3220150.8916878784,0.6289885573049886,99720,273504,2.5739269955876454,2.742719614921781,144,361379669899,360000000000,10170650598803,119557669483492,109387018884689
2015-05-02,2015,5,2,1398127233,87640094303885,87267594303885,14433.771052495742,3399731.4604377607,0.9795976491761208,96865,357425,2.737521292520518,3.6899292830227637,149,373898127233,372500000000,6252615627761,87640094303885,81387478676124
2015-05-03,2015,5,3,1258854041,80979576842218,80629576842218,14755.88476415979,3548262.737868372,0.9170789367075324,85312,301214,2.815289759939985,3.5307342460615154,140,351258854041,350000000000,5606052987744,80979576842218,75373523854474
2015-05-04,2015,5,4,1429118692,118714864081735,118389864081735,14663.342554021054,3504196.524714822,0.7874056932059618,97462,283815,2.7843672405655537,2.912058032874351,130,326429118692,325000000000,8009243924537,118714864081735,110705620157198
2015-05-05,2015,5,5,1663632808,121413034660593,121028034660593,14107.071271697378,3329598.591874532,0.6063345073781301,117929,321547,2.6104435719797507,2.7266151667528766,154,386663632808,385000000000,8648727262762,121413034660593,112764307397831
